MEGAHORN,Megahorn
PSYBLADE,Psyblade
BLOODMOON,Blood Moon
MATCHAGOTCHA,Matcha Gotcha
SYRUPBOMB,Syrup Bomb
IVYCUDGEL,Ivy Cudgel
ELECTROSHOT,Electro Shot
TERASTARSTORM,Tera Starstorm
FICKLEBEAM,Fickle Beam
BURNINGBULWARK,Burning Bulwark
THUNDERCLAP,Thunderclap
MIGHTYCLEAVE,Mighty Cleave
TACHYONCUTTER,Tachyon Cutter
HARDPRESS,Hard Press
DRAGONCHEER,Dragon Cheer
ALLURINGVOICE,Alluring Voice
TEMPERFLARE,Temper Flare
SUPERCELLSLAM,Supercell Slam
PSYCHICNOISE,Psychic Noise
UPPERHAND,Upper Hand
MALIGNANTCHAIN,Malignant Chain
TERABLAST,Tera Blast
ESCALOFRIO,Escalofrio
DESLIZAMIENTO,Deslizamiento
TRIPLEHIT,Triple Hit
EEVEEVOLLEY,Eevee Volley
BOUNCYBUBBLE,Bouncy Bubble
BUZZYBUZZ,Buzzy Buzz
SIZZLYSLIDE,Sizzly Slide
GLITZYGLOW,Glitzy Glow
BADDYBAD,Baddy Bad
SAPPYSEED,Sappy Seed
FREEZYFROST,Freezy Frost
SPARKLYSWIRL,Sparkly Swirl
PIKAPAPOW,Pika Papow
ZIPPYZAP,Zippy Zap
SPLISHYSPLASH,Splishy Splash
FLOATYFALL,Floaty Fall
NIHILLIGHT,Nihil Light
